epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,15.8684,1.45179,4.53771,1.43578,0.4459,0.09048,0.07604,0.05143,1.34108,3.68895,1.46373,0.00076356,0.00025452,0.00076356,0.00025452,0.00076356,0.00025452,0.00076356,0.00025452
2,30.725,1.17679,2.92382,1.23139,0.3718,0.68643,0.58554,0.44116,0.91478,1.85198,1.16871,0.001539,0.000513001,0.001539,0.000513001,0.001539,0.000513001,0.001539,0.000513001
3,44.486,0.85436,1.65564,1.05348,0.7655,0.83533,0.8646,0.73397,0.65424,1.01097,0.99972,0.00229878,0.000766262,0.00229878,0.000766262,0.00229878,0.000766262,0.00229878,0.000766262
4,58.0763,0.59532,1.07947,0.93316,0.91699,0.88793,0.96312,0.90102,0.39391,0.62078,0.88171,0.00264601,0.000882003,0.00264601,0.000882003,0.00264601,0.000882003,0.00264601,0.000882003
5,71.4733,0.44291,0.78498,0.88295,0.97063,0.91832,0.97597,0.94558,0.28995,0.44285,0.84444,0.00261901,0.000873004,0.00261901,0.000873004,0.00261901,0.000873004,0.00261901,0.000873004
6,84.9559,0.33055,0.58855,0.84494,0.97865,0.94843,0.9847,0.97325,0.19254,0.32572,0.82346,0.00259201,0.000864004,0.00259201,0.000864004,0.00259201,0.000864004,0.00259201,0.000864004
7,98.5592,0.27693,0.50048,0.82599,0.97988,0.96716,0.98405,0.98123,0.15241,0.26872,0.81624,0.00256502,0.000855005,0.00256502,0.000855005,0.00256502,0.000855005,0.00256502,0.000855005
8,112.111,0.23823,0.42581,0.81131,0.97857,0.95744,0.99013,0.98957,0.13707,0.22671,0.81754,0.00253802,0.000846006,0.00253802,0.000846006,0.00253802,0.000846006,0.00253802,0.000846006
9,125.676,0.20442,0.37081,0.80528,0.98059,0.97348,0.9918,0.9918,0.11729,0.19352,0.81862,0.00251102,0.000837007,0.00251102,0.000837007,0.00251102,0.000837007,0.00251102,0.000837007
10,139.093,0.18418,0.34271,0.80445,0.98046,0.97401,0.99233,0.99233,0.10602,0.19009,0.8174,0.00248402,0.000828008,0.00248402,0.000828008,0.00248402,0.000828008,0.00248402,0.000828008
11,152.501,0.17681,0.32079,0.79575,0.98997,0.96671,0.99192,0.99192,0.10057,0.17678,0.81716,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009
12,166.013,0.16305,0.28932,0.80041,0.99362,0.96197,0.99261,0.99261,0.10061,0.18061,0.81301,0.00243003,0.00081001,0.00243003,0.00081001,0.00243003,0.00081001,0.00243003,0.00081001
13,179.486,0.15698,0.29445,0.79489,0.99213,0.95979,0.99221,0.99221,0.09794,0.16994,0.82144,0.00240303,0.000801011,0.00240303,0.000801011,0.00240303,0.000801011,0.00240303,0.000801011
14,193.025,0.14731,0.27073,0.79531,0.98384,0.97176,0.99246,0.99246,0.09838,0.15429,0.82371,0.00237604,0.000792012,0.00237604,0.000792012,0.00237604,0.000792012,0.00237604,0.000792012
